"","fplids"
"1",2363278
"2",6708968
"3",2672800
"4",8329114
"5",9230251
"6",5662057
"7",9965423
"8",8583812
"9",3148839
"10",4189195
"11",6737264
"12",2855544
"13",7194624
"14",9793759
"15",6139899
"16",1852347
"17",9415879
"18",2758067
"19",7780824
"20",419863
"21",3339411
"22",8422579
"23",1236124
"24",5761989
"25",6034198
"26",3977875
"27",5132155
"28",4226193
"29",4906050
"30",3123872
"31",2370284
"32",6527251
"33",4613098
"34",7964590
"35",6326914
"36",8734905
"37",350697
"38",1932051
"39",6153950
"40",9318784
"41",6915683
"42",8304037
"43",1446746
"44",9578854
"45",3751383
"46",5848608
"47",6812133
"48",5223463
"49",9756490
"50",4314837
"51",1899708
"52",7470705
"53",6378831
"54",7940294
"55",1524547
"56",4032345
"57",1802141
"58",8301058
"59",7428436
"60",7763405
"61",1512852
"62",8576610
"63",8611994
"64",2300753
"65",9608828
"66",358734
"67",4041142
"68",2615304
"69",973939
"70",9173312
"71",3756698
"72",1369518
"73",6375537
"74",6880864
"75",6695747
"76",3996621
"77",8341197
"78",6278541
"79",6471336
"80",5306202
"81",5497890
"82",862680
"83",7696103
"84",2684649
"85",9662816
"86",3580753
"87",4873907
"88",9066473
"89",4921207
"90",3796112
"91",8078714
"92",2621633
"93",9267031
"94",1334858
"95",8027869
"96",8853391
"97",8363477
"98",6494419
"99",1626235
"100",2506825
"101",8054527
"102",7438499
"103",8596437
"104",8031398
"105",348503
"106",2484795
"107",237598
"108",5720342
"109",6064251
"110",7014923
"111",295916
"112",7645038
"113",8784222
"114",7206478
"115",6492261
"116",4793428
"117",409384
"118",8306540
"119",3735657
"120",3908004
"121",9276867
"122",4486739
"123",6063935
"124",6966941
"125",1304089
"126",2060488
"127",4024240
"128",5148348
"129",5345434
"130",5265798
"131",1750483
"132",5443819
"133",711330
"134",5478424
"135",4977962
"136",1952666
"137",8986257
"138",6320689
"139",9264592
"140",4838555
"141",425071
"142",3282342
"143",4227149
"144",3941687
"145",93174
"146",9050513
"147",9822567
"148",8715233
"149",8236114
"150",2746000
"151",6259089
"152",2210448
"153",2755741
"154",6950037
"155",8401428
"156",6254370
"157",8313230
"158",5944277
"159",4644054
"160",2693668
"161",4064619
"162",3561432
"163",2553764
"164",2379167
"165",2712554
"166",8886934
"167",6367784
"168",9738282
"169",5522427
"170",4605040
"171",7306057
"172",1611325
"173",1629362
"174",4351193
"175",6495328
"176",2254633
"177",1427744
"178",5321640
"179",5981274
"180",3278834
"181",6727029
"182",4703343
"183",7032071
"184",8940967
"185",5792873
"186",1716214
"187",567023
"188",4621166
"189",8724847
"190",9673208
"191",9970076
"192",4952616
"193",7569171
"194",993789
"195",6394904
"196",2589960
"197",7198950
"198",5356986
"199",7010160
"200",3610250
"201",6454845
"202",3413210
"203",8077370
"204",2654612
"205",7002823
"206",9729759
"207",436060
"208",2595795
"209",4982658
"210",9281353
"211",7580224
"212",4399004
"213",7114062
"214",3335769
"215",9685844
"216",8644116
"217",4623590
"218",1335884
"219",1453310
"220",9897174
"221",1969650
"222",620446
"223",2309826
"224",265578
"225",466062
"226",7559749
"227",2721055
"228",7127155
"229",9819451
"230",492629
"231",9082812
"232",7012186
"233",199590
"234",4974479
"235",9811528
"236",5099229
"237",1715404
"238",4590454
"239",661072
"240",1581473
"241",6103977
"242",7077769
"243",2457712
"244",2533422
"245",4582811
"246",3192452
"247",2490960
"248",5863331
"249",130781
"250",2163385
"251",9927036
"252",3557456
"253",4284488
"254",552468
"255",6381824
"256",1122566
"257",2022107
"258",1010651
"259",5536554
"260",6891207
"261",4421697
"262",2911679
"263",6333437
"264",6780975
"265",8880033
"266",4674995
"267",7712702
"268",6145394
"269",6332836
"270",5875470
"271",1113208
"272",2857326
"273",2624327
"274",6027825
"275",7335902
"276",7591089
"277",7970140
"278",1287933
"279",8798253
"280",3740075
"281",7888606
"282",2490337
"283",8528190
"284",7406393
"285",186137
"286",1058427
"287",1727066
"288",8632651
"289",1161450
"290",6231875
"291",3269257
"292",3258207
"293",3764449
"294",8667536
"295",5446501
"296",5134456
"297",8884580
"298",1130492
"299",4410184
"300",1408012
"301",6026628
"302",5513487
"303",1714396
"304",5866772
"305",8410563
"306",4373272
"307",6821471
"308",623441
"309",802304
"310",2536014
"311",385660
"312",2675447
"313",8951505
"314",6500055
"315",6241678
"316",2522444
"317",103540
"318",6615108
"319",5734146
"320",457654
"321",1012345
"322",640114
"323",8547265
"324",2373742
"325",340326
"326",5017164
"327",4541491
"328",8762230
"329",1781106
"330",1834769
"331",6010089
"332",4422677
"333",945785
"334",7755613
"335",5127836
"336",5073322
"337",7420198
"338",891919
"339",1209605
"340",1776479
"341",1227053
"342",9929560
"343",621918
"344",6488059
"345",1614487
"346",6942038
"347",2717511
"348",8869700
"349",7481700
"350",5705265
"351",2309314
"352",7421559
"353",2570849
"354",3761166
"355",8999869
"356",5609368
"357",2622582
"358",6350102
"359",7592295
"360",9907880
"361",8272077
"362",4752985
"363",723195
"364",1688421
"365",9040401
"366",1219562
"367",8566435
"368",7864909
"369",1459926
"370",9412500
"371",3900653
"372",9757759
"373",2476549
"374",2739510
"375",5750438
"376",2494606
"377",6972340
"378",5249444
"379",9516820
"380",9108529
"381",5102200
"382",4858827
"383",7310078
"384",9926478
"385",9855980
"386",8597627
"387",3718554
"388",3901215
"389",9360290
"390",5800789
"391",7935090
"392",1211198
"393",6029644
"394",1804125
"395",9502261
"396",8908467
"397",4571173
"398",8317456
"399",3269281
"400",9790
"401",499356
"402",9701249
"403",4746675
"404",3895744
"405",6009696
"406",469019
"407",728844
"408",4436996
"409",4197074
"410",1451057
"411",1151279
"412",5938225
"413",3236208
"414",5528636
"415",6262210
"416",1430417
"417",4861679
"418",2642353
"419",4243877
"420",3472146
"421",1040342
"422",7582435
"423",5354955
"424",3188550
"425",3656835
"426",2555568
"427",7263333
"428",744404
"429",1454124
"430",7698505
"431",5238405
"432",7580376
"433",4830158
"434",7263766
"435",5195706
"436",8081303
"437",1217923
"438",5676446
"439",9800824
"440",4707742
"441",9475763
"442",7725533
"443",4786719
"444",2907503
"445",9937588
"446",1961258
"447",7084529
"448",9103614
"449",3787760
"450",4376511
"451",8732144
"452",6552221
"453",2566237
"454",7609888
"455",5285155
"456",4655441
"457",165908
"458",1400380
"459",3015588
"460",7240458
"461",1839287
"462",3247311
"463",6330850
"464",7028492
"465",3268476
"466",5763823
"467",9649351
"468",5246174
"469",3276414
"470",1449920
"471",9537236
"472",4020860
"473",2503607
"474",3055496
"475",7525725
"476",8602336
"477",2662682
"478",5683272
"479",6079695
"480",2401871
"481",5580595
"482",4784882
"483",2413677
"484",1921489
"485",6673756
"486",8830563
"487",9847190
"488",5672432
"489",9414660
"490",1934307
"491",6631856
"492",6468390
"493",9055636
"494",4952279
"495",4260096
"496",2331634
"497",5440897
"498",5689974
"499",9345660
"500",9740030
"501",7119471
"502",5225203
"503",9013489
"504",6585371
"505",5299916
"506",5792440
"507",933202
"508",8373046
"509",2921209
"510",2772922
"511",1844467
"512",1398743
"513",1796198
"514",7097178
"515",2150523
"516",2249780
"517",8808450
"518",8160608
"519",1912776
"520",3672430
"521",4559854
"522",6188781
"523",5754343
"524",8945001
"525",680341
"526",6307875
"527",6634700
"528",8411243
"529",4023313
"530",3715136
"531",1431564
"532",4006823
"533",8506761
"534",8112685
"535",1843937
"536",2464750
"537",7942484
"538",4982052
"539",9759784
"540",1000912
"541",5897024
"542",7564650
"543",2725598
"544",2321288
"545",3603402
"546",9067731
"547",3164044
"548",1845970
"549",6632172
"550",3320763
"551",7424159
"552",4646501
"553",4112341
"554",5730911
"555",5013285
"556",4420657
"557",7457676
"558",2529345
"559",5334814
"560",7441986
"561",2008905
"562",7824268
"563",2841966
"564",7739108
"565",6194372
"566",3774722
"567",1565210
"568",9836203
"569",2331079
"570",9718668
"571",275421
"572",2504893
"573",4522833
"574",7399535
"575",6362366
"576",6662689
"577",1416928
"578",8598546
"579",370944
"580",7788669
"581",3236898
"582",3485261
"583",2886051
"584",4620337
"585",91582
"586",3437723
"587",2080997
"588",1104098
"589",3980762
"590",845986
"591",7349078
"592",2189337
"593",8496572
"594",2712322
"595",1909249
"596",2086880
"597",5867108
"598",9176293
"599",6503822
"600",2363150
"601",4630127
"602",4662217
"603",7828931
"604",515023
"605",8175679
"606",5991919
"607",7940573
"608",6509033
"609",9261739
"610",2973910
"611",1745966
"612",6585062
"613",3381486
"614",8642244
"615",3968132
"616",6092861
"617",1249272
"618",1696286
"619",9336733
"620",618799
"621",9090647
"622",4133904
"623",1634531
"624",9946000
"625",8886365
"626",7995932
"627",5547786
"628",947933
"629",9551425
"630",259290
"631",4901550
"632",161741
"633",6199183
"634",1686589
"635",8808590
"636",7272934
"637",4270598
"638",9990947
"639",8332109
"640",7476301
"641",5205493
"642",6813728
"643",3231551
"644",2274809
"645",2529244
"646",2662040
"647",7046792
"648",5995687
"649",4149549
"650",7069737
"651",3918085
"652",5096399
"653",2827697
"654",3531390
"655",8284348
"656",2092478
"657",4673954
"658",798567
"659",3370348
"660",6988366
"661",9984174
"662",1376203
"663",3536227
"664",558404
"665",1416174
"666",8864063
"667",9464895
"668",1934920
"669",8027715
"670",5315421
"671",1721726
"672",9050126
"673",6168830
"674",4129316
"675",9007981
"676",7249206
"677",3216548
"678",8614098
"679",3918861
"680",2774299
"681",568206
"682",2655206
"683",7863301
"684",2529439
"685",8893132
"686",4418079
"687",8123299
"688",648035
"689",8267812
"690",5880344
"691",2042615
"692",2163117
"693",6701363
"694",5095338
"695",9848582
"696",3003460
"697",4562789
"698",3070200
"699",9809200
"700",4517065
"701",7903059
"702",8925352
"703",6024600
"704",5872982
"705",1953354
"706",6360216
"707",9244485
"708",7257625
"709",5675339
"710",3764007
"711",2667438
"712",1890208
"713",1646595
"714",5869995
"715",8129083
"716",2357597
"717",2918967
"718",370288
"719",2249491
"720",2277300
"721",4962970
"722",7501606
"723",598544
"724",2730
"725",6309921
"726",8756269
"727",7990560
"728",2412238
"729",6958752
"730",5479148
"731",8068483
"732",7733247
"733",2835448
"734",9212898
"735",3466088
"736",5714560
"737",4093414
"738",131296
"739",5530866
"740",2733944
"741",4923373
"742",3129359
"743",3524074
"744",4440425
"745",2993888
"746",7116282
"747",2604763
"748",8700179
"749",3924271
"750",3803959
"751",7679415
"752",3352749
"753",4652542
"754",2430174
"755",3451313
"756",9726719
"757",3712162
"758",4841615
"759",88535
"760",6339798
"761",2629457
"762",7401976
"763",9492837
"764",7475981
"765",2031029
"766",1303376
"767",858451
"768",5157473
"769",7120847
"770",8707100
"771",6559079
"772",2547193
"773",2928373
"774",3623254
"775",5431125
"776",7955352
"777",5356211
"778",637910
"779",6546271
"780",6059354
"781",6106274
"782",691116
"783",1065314
"784",5456984
"785",1175069
"786",527786
"787",9561491
"788",259308
"789",5518444
"790",5686092
"791",8649642
"792",5695244
"793",5429894
"794",8748245
"795",3543407
"796",9609413
"797",6800747
"798",2677109
"799",1385568
"800",5241550
"801",8015861
"802",7433659
"803",611190
"804",831939
"805",1536628
"806",8718713
"807",5392236
"808",1845473
"809",1413504
"810",8728844
"811",2599505
"812",9894701
"813",5844517
"814",6470155
"815",5705462
"816",9889591
"817",6805058
"818",3566684
"819",802978
"820",914882
"821",8685146
"822",9048902
"823",9582831
"824",731233
"825",3876328
"826",7809678
"827",3477142
"828",4325716
"829",8831020
"830",654377
"831",6358
"832",5178697
"833",9287561
"834",8292650
"835",1734941
"836",7276914
"837",5956233
"838",9911179
"839",1309026
"840",2588909
"841",2510692
"842",1618072
"843",9682419
"844",4622638
"845",7722599
"846",6785358
"847",3241537
"848",158572
"849",5957228
"850",7909012
"851",1648691
"852",6109489
"853",6955202
"854",7403533
"855",4479447
"856",440678
"857",8383052
"858",4708041
"859",5805331
"860",6272107
"861",2870033
"862",7984868
"863",9598834
"864",8695243
"865",2459176
"866",545066
"867",5810708
"868",330587
"869",806308
"870",2216461
"871",6428201
"872",8102233
"873",6086173
"874",1889941
"875",5875684
"876",4554945
"877",3505815
"878",1411730
"879",7691408
"880",1797917
"881",6824181
"882",298941
"883",4824459
"884",3803234
"885",1021255
"886",6281283
"887",8137819
"888",4769550
"889",4944880
"890",2348741
"891",9480655
"892",2879149
"893",6966486
"894",6820470
"895",3506653
"896",7476579
"897",8254181
"898",5924791
"899",159616
"900",6429384
"901",9713411
"902",3788063
"903",3727146
"904",6677516
"905",5664393
"906",9787495
"907",536467
"908",3767380
"909",6473360
"910",2047509
"911",3144776
"912",2790835
"913",8376394
"914",7157412
"915",842147
"916",7911771
"917",8387041
"918",7618510
"919",1360499
"920",2490100
"921",4746518
"922",8564195
"923",1532957
"924",3775620
"925",8337859
"926",8073820
"927",841483
"928",1201918
"929",9516538
"930",4008967
"931",3915005
"932",6455916
"933",4100962
"934",4463466
"935",7056069
"936",2214086
"937",7805183
"938",163145
"939",447782
"940",4945590
"941",6552131
"942",864311
"943",9340793
"944",9127823
"945",7170114
"946",9115600
"947",975405
"948",909960
"949",658442
"950",7866005
"951",1714625
"952",303502
"953",3920587
"954",317430
"955",1972488
"956",991684
"957",7812911
"958",1819090
"959",5845114
"960",760215
"961",4030919
"962",4217455
"963",8747594
"964",3814215
"965",5820121
"966",9127065
"967",6742603
"968",4255573
"969",1236796
"970",6512728
"971",8027034
"972",336900
"973",5177691
"974",3989492
"975",4518445
"976",9652357
"977",9274526
"978",4847050
"979",4191000
"980",5974900
"981",6213568
"982",2831768
"983",48524
"984",9427853
"985",7591429
"986",2829763
"987",4084587
"988",3470884
"989",6625428
"990",6499140
"991",4019070
"992",7438045
"993",650292
"994",6177822
"995",1151993
"996",1717635
"997",6329203
"998",7790635
"999",221890
"1000",4254333
"1001",5473484
"1002",2583734
"1003",501877
"1004",9253347
"1005",9882853
"1006",1169449
"1007",4614563
"1008",1679416
"1009",6854805
"1010",4437557
"1011",5903447
"1012",6397220
"1013",6085046
"1014",9216018
"1015",789585
"1016",2906305
"1017",1283061
"1018",2871621
"1019",7294152
"1020",7221208
"1021",7644910
"1022",9610148
"1023",8534985
"1024",2764615
"1025",6532206
"1026",4976727
"1027",8578363
"1028",1553611
"1029",6226248
"1030",1796600
"1031",8081319
"1032",5531400
"1033",9644607
"1034",5334244
"1035",5567401
"1036",5220492
"1037",3180904
"1038",4347739
"1039",6394906
"1040",1067033
"1041",4492666
"1042",6393186
"1043",3088500
"1044",6447897
"1045",8521148
"1046",698651
"1047",1880114
"1048",6596074
"1049",938554
"1050",4653281
"1051",3997381
"1052",3938176
"1053",5399689
"1054",4181129
"1055",975277
"1056",5948362
"1057",7426443
"1058",8762917
"1059",2872895
"1060",5047139
"1061",9169304
"1062",3756057
"1063",8484927
"1064",9763810
"1065",6285513
"1066",3350628
"1067",9182332
"1068",7566949
"1069",9864389
"1070",4452741
"1071",2818705
"1072",4831241
"1073",1938124
"1074",6189581
"1075",7309576
"1076",8893562
"1077",9754948
"1078",7911851
"1079",7574153
"1080",9078828
"1081",5728163
"1082",6323541
"1083",2747453
"1084",1656811
"1085",3062139
"1086",7115129
"1087",9240432
"1088",8376622
"1089",6417436
"1090",4168401
"1091",4049571
"1092",1465154
"1093",9725525
"1094",1795588
"1095",6536532
"1096",7497185
"1097",9900870
"1098",4393815
"1099",3218393
"1100",6149686
"1101",1286988
"1102",863233
"1103",679125
"1104",4643586
"1105",7402771
"1106",9574282
"1107",2329776
"1108",5619824
"1109",3527498
"1110",3202342
"1111",8386973
"1112",6176931
"1113",9379917
"1114",47307
"1115",823840
"1116",8733343
"1117",1868918
"1118",7950677
"1119",2920959
"1120",1846516
"1121",8412837
"1122",5238535
"1123",7537433
"1124",5552841
"1125",6177598
"1126",3609528
"1127",5786070
"1128",1256028
"1129",5540538
"1130",4690751
"1131",9087884
"1132",6125009
"1133",3525636
"1134",3683371
"1135",7073833
